"\S*aðkoma"	"meðDat"
"\S*bygging\S*"	"meðDat"
"\S*gata\S*"	"meðDat"
"\S*götu\S*"	"meðDat"
"\S*vél(in|inni|ina|ar|arinnar)?"	"meðDat"
"\S*hús(i|s|ið|inu|sins|in|u(nu)?m|sanna)?"	"meðDat"
"aðkeyrslubraut(ir|um)?"	"meðDat"
"aðstaðan?"	"meðDat"
"\S*dyr(nar)?"	"meðDat"
"\S*efni"	"meðDat"
"anddyrið?"	"meðDat"
"auglýsing(ar|um?)"	"meðDat"
"ávaxta\S*"	"meðDat"
"\S*mjólk"	"meðDat"
"bað(kar)?"	"meðDat"
"ball(ið?)?"	"meðDat"
"barn[ai]?"	"meðDat"
"\S*herbergi"	"meðDat"
"\S*leikrit"	"meðDat"
"\S*bát(ur)?"	"meðDat"
"bein"	"meðDat"
"\S*stöð"	"meðDat"
"\S*bíl(l|a|ar|arnir|linn|num|unum|um)?"	"meðDat"
"\S*lán"	"meðDat"
"\S*blað(ið?)?"	"meðDat"
"blaðsíð(a|ur?)"	"meðDat"
"blöð"	"meðDat"
"bol(ur)?"	"meðDat"
"\S*bók"	"meðDat"
"bólusetningu?"	"meðDat"
"\S*brauði?"	"meðDat"
"\S*sneið(ar|arnar)?"	"meðDat"
"bréfi?"	"meðDat"
"\S*meðferð"	"meðDat"
"\S*búri?"	"meðDat"
"\S*bústað(ur)?"	"meðDat"
"\S*grautur"	"meðDat"
"\S*bækur"	"meðDat"
"\S*bæklingur"	"meðDat"
"börn(in|um)?"	"meðDat"
"dagskrá"	"meðDat"
"dansleik(i|ur)?"	"meðDat"
"\S*disk(a|ar|ana|inn|ur)?"	"meðDat"
"\S*hreyfill"	"meðDat"
"\S*hreyfli"	"meðDat"
"\S*úlpa"	"meðDat"
"\S*eftirlit(ið?|s)?"	"meðDat"
"egg(i[ðn]?)?"	"meðDat"
"eggja\S+"	"meðDat"
"einstakling(a|ar|i|um|ur)?"	"meðDat"
"\S*fjalli?"	"meðDat"
"\S*eyjar?"	"meðDat"
"\S*aðstaða"	"meðDat"
"\S*íbúð(ir)?"	"meðDat"
"\S*salati?"	"meðDat"
"\S*rými"	"meðDat"
"\S*skáp(ur)?"	"meðDat"
"\S*bollur"	"meðDat"
"fiskur"	"meðDat"
"fjós(um)?"	"meðDat"
"fjara"	"meðDat"
"fjörur"	"meðDat"
"fleti"	"meðDat"
"flöt(ur|inn)?"	"meðDat"
"flaska"	"meðDat"
"flöskur?"	"meðDat"
"fólk(ið?|s)?"	"meðDat"
"fóst(ri|ur|rum)"	"meðDat"
"\S+merki"	"meðDat"
"geymsla"	"meðDat"
"gleraugu"	"meðDat"
"glugg(ar|i)"	"meðDat"
"gos"	"meðDat"
"\S+lendi"	"meðDat"
"\S*saf[ia]"	"meðDat"
"\S*ker"	"meðDat"
"\S*skóli"	"meðDat"
"grænmeti\S*"	"meðDat"
"\S*kjöt(ið?)?"	"meðDat"
"happdrætti"	"meðDat"
"\S*hefti"	"meðDat"
"\S*verslun"	"meðDat"
"\S*síð[au]"	"meðDat"
"\S*still(ir|ar)"	"meðDat"
"\S*loftslag"	"meðDat"
"\S*hjól"	"meðDat"
"hljómborð"	"meðDat"
"hótel"	"meðDat"
"\S+myndanir"	"meðDat"
"\S*flétta"	"meðDat"
"\S*vín"	"meðDat"
"\S*tré"	"meðDat"
"kaffi"	"meðDat"
"\S*kaka"	"meðDat"
"\S*samnging(i|a|ur)?"	"meðDat"
"\S*kerfi"	"meðDat"
"\S*kjóll"	"meðDat"
"\S*bit(ar|um)"	"meðDat"
"\S+bring(a|ur)"	"meðDat"
"kjúklingaréttur"	"meðDat"
"kjúkling(i|inn|ur)?"	"meðDat"
"\S*lærið?"	"meðDat"
"kopar"	"meðDat"
"\S*kort"	"meðDat"
"\S*kapall"	"meðDat"
"\S*kapla"	"meðDat"
"\S*kross"	"meðDat"
"\S*kútur"	"meðDat"
"lax"	"meðDat"
"\S*listi"	"meðDat"
"\S*lóð"	"meðDat"
"matvæli"	"meðDat"
"\S*meðferð(ar)?"	"meðDat"
"meðhöndlun"	"meðDat"
"miði"	"meðDat"
"\S*bergi?"	"meðDat"
"\S*mappa"	"meðDat"
"\S*möppur?"	"meðDat"
"\S*lundir"	"meðDat"
"\S*hakk"	"meðDat"
"\S*skilrík(i|jum)?"	"meðDat"
"\S*peys[au]"	"meðDat"
"\S*pizz[au]"	"meðDat"
"\S*pott(a|ar|i|inn|inum)?"	"meðDat"
"pottréttur"	"meðDat"
"\S*próf"	"meðDat"
"\S*kökur"	"meðDat"
"\S*borgarar"	"meðDat"
"\S*samlok[au]"	"meðDat"
"\S*sleði"	"meðDat"
"\S*bandi?"	"meðDat"
"\S*stof[au]"	"meðDat"
"\S+staður"	"meðDat"
"sjúkling(a|ar|um)?"	"meðDat"
"\S*skál"	"meðDat"
"\S*skilti"	"meðDat"
"\S*skip"	"meðDat"
"\S*skj[aö]l"	"meðDat"
"\S*skýrsl(a|u)"	"meðDat"
"snjókom[au]"	"meðDat"
"svalir"	"meðDat"
"tafla"	"meðDat"
"\S*text[ai]"	"meðDat"
"\S*svæði"	"meðDat"
"\S*stæði"	"meðDat"
"tjörn"	"meðDat"
"tónleikar"	"meðDat"
"tónlist"	"meðDat"
"töflur"	"meðDat"
"tölv(a|ur?)"	"meðDat"
"tölur"	"meðDat"
"tölvupóst(ur)?"	"meðDat"
"tölvuskeyti"	"meðDat"
"upphlutur"	"meðDat"
"\S*reikning(ar?)?"	"meðDat"
"\S*turn"	"meðDat"
"útvarp"	"meðDat"
"\S*ís"	"meðDat"
"vef(ur)?"	"meðDat"
"\S*kafli"	"meðDat"
"\S*spj[aö]ld"	"meðDat"
"\S*veg(i|inn|ir|ur|urinn)"	"meðDat"
"\S*veiðar"	"meðDat"
"\S*færi"	"meðDat"
"öryrkjar"	"meðDat"
"askja"	"meðDat"
"öskjur"	"meðDat"
"öxull"	"meðDat"
"öxlar?"	"meðDat"
